ID,present,WC_alt,WC_bio1,WC_bio2,ER_tri,ER_topoWet,lon,lat
11840,0,2447,14.800000190734863,16.700000762939453,19.770000457763672,10.729999542236328,-103.54166666666697,23.20833333333331
11841,0,1857,17.100000381469727,14.5,70.7300033569336,8.989999771118164,-104.12500000000031,20.291666666666647
11842,0,2070,16.399999618530273,14.100000381469727,99.44000244140625,8.699999809265137,-104.37500000000031,22.875
11843,0,236,14.5,13.300000190734863,14.9399995803833,11.3100004196167,-84.9583333333336,35.375
11844,0,452,24.799999237060547,9.300000190734863,25.950000762939453,10.770000457763672,7.458333333333229,6.79166666666665
11845,0,113,26.100000381469727,9.199999809265137,3.9800000190734863,12.800000190734863,-66.70833333333357,-5.375
11846,0,309,17.899999618530273,12.800000190734863,13.350000381469727,11.90999984741211,-7.875000000000142,32.79166666666664
11847,0,149,26.799999237060547,9.199999809265137,19.75,11.420000076293945,-60.0416666666669,-0.458333333333343
11848,0,672,20.200000762939453,16.100000381469727,3.940000057220459,13.079999923706055,11.041666666666572,29.041666666666643
11849,0,304,29.299999237060547,15.600000381469727,2.880000114440918,14.399999618530273,16.625,14.958333333333314
11850,0,659,23.5,12.699999809265137,14.850000381469727,11.520000457763672,-44.79166666666687,-13.791666666666671
11851,0,164,13.300000190734863,12.800000190734863,21.6299991607666,10.75,-78.4583333333336,37.95833333333331
11852,0,1269,19.799999237060547,13.699999809265137,9.5,12.100000381469727,29.0416666666666,-13.041666666666671
11853,0,231,28.700000762939453,15,2.9000000953674316,13.4399995803833,18.375,17.458333333333314
11854,0,1226,20.399999618530273,13.899999618530273,5.78000020980835,12.829999923706055,27.125,-13.875
11855,0,17,27.600000381469727,8.199999809265137,7.429999828338623,12.369999885559082,-56.79166666666689,-2.791666666666679
11856,0,42,27.299999237060547,9.5,3.2699999809265137,13.779999732971191,-37.625000000000185,-4.708333333333343
11857,0,875,24.799999237060547,18,4.590000152587891,13.5600004196167,23.375,14.125
11858,0,91,27.899999618530273,9.899999618530273,23.899999618530273,10.760000228881836,-67.45833333333357,5.79166666666665
11859,0,474,25,10.800000190734863,8.649999618530273,12.34000015258789,25.0416666666666,2.875
11860,0,794,22.299999237060547,10.800000190734863,89.470001220703125,9,-94.37500000000028,16.958333333333314
11861,0,277,28.5,17.799999237060547,1.0299999713897705,14.350000381469727,-3.125000000000128,18.625
11862,0,2090,11.199999809265137,13.899999618530273,94.87999725341797,8.5,27.875,-30.79166666666667
11863,0,266,25,12.699999809265137,27.90999984741211,10.520000457763672,-53.12500000000021,-7.208333333333343
11864,0,1240,20.200000762939453,14.899999618530273,9.720000267028809,12.010000228881836,25.375,-12.375
11865,0,461,26.700000762939453,12.800000190734863,27.329999923706055,11.170000076293945,1.374999999999872,10.29166666666665
11866,0,601,24.600000381469727,11.800000190734863,21.3799991607666,10.760000228881836,24.458333333333258,5.125
11867,0,115,25.399999618530273,9.300000190734863,3.3399999141693115,13.140000343322754,-68.54166666666691,-3.708333333333343
11868,0,371,17.799999237060547,14.199999809265137,33.0099983215332,10.84000015258789,25.0416666666666,-33.375
11869,0,130,25.200000762939453,8.600000381469727,12.350000381469727,11.729999542236328,-52.958333333333556,4.29166666666665
11870,0,34,27.299999237060547,8.600000381469727,8.1899995803833,12.279999732971191,-57.12500000000023,-3.125
