name,longitude,latitude,prov,key,lifeStage,continent,stateProvince,year,species
"Phoenicopterus ruber Linnaeus, 1758",-89.621628,21.227889,gbif,3032152147,NA,NA,Yucatán,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-84.149017,30.098868,gbif,3039247067,NA,NA,Florida,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-87.950752,21.718937,gbif,3044922926,NA,NA,Yucatán,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-89.930922,21.312167,gbif,3067791887,NA,NA,Yucatán,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-89.505325,21.265639,gbif,3067935882,NA,NA,Yucatán,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-89.465607,21.308993,gbif,3067989865,NA,NA,Yucatán,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-89.833803,21.335793,gbif,3068045650,NA,NA,Yucatán,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-89.586645,21.210407,gbif,3068132259,NA,NA,Yucatán,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",-84.148789,30.092989,gbif,3070419460,NA,NA,Florida,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.04125,gbif,3076362739,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",26.124583,-28.79125,gbif,3076362858,NA,AFRICA,Free State,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",27.457917,-27.29125,gbif,3076364773,NA,AFRICA,Free State,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",28.29125,-26.124583,gbif,3076366894,NA,AFRICA,Gauteng,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.624583,-33.29125,gbif,3076367006,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.207917,-32.79125,gbif,3076367011,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",22.207917,-34.04125,gbif,3076368061,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.04125,gbif,3076368079,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",24.54125,-32.207917,gbif,3076370793,NA,AFRICA,Eastern Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",29.79125,-28.54125,gbif,3076372853,NA,AFRICA,KwaZulu-Natal,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",29.624583,-25.707917,gbif,3076376930,NA,AFRICA,Mpumalanga,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",30.04125,-27.207917,gbif,3076386121,NA,AFRICA,Mpumalanga,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.04125,gbif,3076386272,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",26.124583,-28.79125,gbif,3076387852,NA,AFRICA,Free State,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.207917,-32.79125,gbif,3076388774,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.04125,gbif,3076396747,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",26.29125,-29.874583,gbif,3076396955,NA,AFRICA,Free State,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",24.874583,-34.04125,gbif,3076399796,NA,AFRICA,Eastern Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.04125,-33.124583,gbif,3076402034,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.04125,gbif,3076404884,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.04125,gbif,3076407060,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",26.54125,-30.207917,gbif,3076408987,NA,AFRICA,Free State,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",26.707917,-31.29125,gbif,3076411955,NA,AFRICA,Eastern Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",26.29125,-29.874583,gbif,3076418962,NA,AFRICA,Free State,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",26.707917,-31.29125,gbif,3076418964,NA,AFRICA,Eastern Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",32.457917,-27.874583,gbif,3076419764,NA,AFRICA,KwaZulu-Natal,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",22.207917,-34.04125,gbif,3076423183,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-33.957917,gbif,3076439451,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",24.874583,-34.04125,gbif,3076450879,NA,AFRICA,Eastern Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.04125,gbif,3076458326,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",25.707917,-33.79125,gbif,3076524068,NA,AFRICA,Eastern Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",28.29125,-26.124583,gbif,3076524137,NA,AFRICA,Gauteng,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.124583,gbif,3076524717,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.207917,-32.79125,gbif,3076525008,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",22.207917,-34.04125,gbif,3076527980,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",28.29125,-26.207917,gbif,3076530583,NA,AFRICA,Gauteng,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.124583,-33.207917,gbif,3076530848,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",25.79125,-33.707917,gbif,3076531434,NA,AFRICA,Eastern Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.124583,gbif,3076532274,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",25.707917,-33.79125,gbif,3076548315,NA,AFRICA,Eastern Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.124583,-33.207917,gbif,3076565427,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-33.79125,gbif,3076567438,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.124583,gbif,3076632366,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.207917,-32.79125,gbif,3076632877,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",28.54125,-26.374583,gbif,3076633170,NA,AFRICA,Gauteng,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.124583,gbif,3076645852,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.457917,-33.874583,gbif,3076645890,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",28.54125,-26.374583,gbif,3076646316,NA,AFRICA,Gauteng,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",29.207917,-26.957917,gbif,3076646785,NA,AFRICA,Mpumalanga,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.124583,-33.207917,gbif,3076647063,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.207917,-32.79125,gbif,3076647073,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",28.54125,-26.374583,gbif,3076657975,NA,AFRICA,Gauteng,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.207917,-32.79125,gbif,3076687681,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",25.457917,-30.624583,gbif,3076702895,NA,AFRICA,Free State,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.04125,gbif,3076716826,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.124583,gbif,3076717134,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",26.04125,-28.707917,gbif,3076722626,NA,AFRICA,Free State,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",24.874583,-34.124583,gbif,3076722837,NA,AFRICA,Eastern Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.54125,-34.124583,gbif,3076722894,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",28.54125,-26.374583,gbif,3076726240,NA,AFRICA,Gauteng,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",24.54125,-28.04125,gbif,3076730255,NA,AFRICA,North West,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",28.54125,-26.374583,gbif,3076759174,NA,AFRICA,Gauteng,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",28.29125,-26.124583,gbif,3076781117,NA,AFRICA,Gauteng,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",25.707917,-29.207917,gbif,3076781218,NA,AFRICA,Free State,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",19.29125,-34.374583,gbif,3076781220,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",28.957917,-26.54125,gbif,3076786840,NA,AFRICA,Mpumalanga,2021,Phoenicopterus ruber
"Phoenicopterus ruber Linnaeus, 1758",18.124583,-33.207917,gbif,3076787787,NA,AFRICA,Western Cape,2021,Phoenicopterus ruber
